permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2001 QS209,000000IZ1ZC1,21.806,0.0466,Lr,228.2232337,-40.3678493,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2001 QS209,000000IZ1ZC1,21.839,0.0524,Lr,228.2216915,-40.3674133,2025-05-22 06:11:32.749000+00:00,60817.25801792834
,2001 QS209,000000IZ1ZC1,21.902,0.0534,Lr,228.2210606,-40.3672687,2025-05-22 06:14:30.623000+00:00,60817.260076655075
,2001 QS209,000000IZ1ZC1,21.656,0.0609,Li,228.2178649,-40.3664009,2025-05-22 06:30:25.357000+00:00,60817.27112681698
,2001 QS209,000000IZ1ZC1,21.631,0.0566,Li,228.2164995,-40.3660064,2025-05-22 06:37:03.509000+00:00,60817.27573505789
,2001 QS209,000000IZ1ZC2,21.201,0.0237,Li,227.7088418,-40.2212222,2025-05-24 01:54:59.144000+00:00,60819.0798512036
,2001 QS209,000000IZ1ZC2,21.217,0.0227,Li,227.7085509,-40.2211444,2025-05-24 01:56:24.185000+00:00,60819.080835474655
,2001 QS209,000000IZ1ZC2,21.13,0.023,Li,227.7078401,-40.2209485,2025-05-24 01:59:56.085000+00:00,60819.08328802092
,2001 QS209,000000IZ1ZC2,21.128,0.0221,Li,227.7065771,-40.2205848,2025-05-24 02:06:17.710000+00:00,60819.08770497702
,2001 QS209,000000IZ1ZC2,21.155,0.0219,Li,227.7060079,-40.2204236,2025-05-24 02:09:07.586000+00:00,60819.08967113448
,2001 QS209,000000IZ1ZC2,23.526,0.3101,Lz,227.7027669,-40.2195058,2025-05-24 02:23:59.296000+00:00,60819.09999185195
,2001 QS209,000000IZ1ZC2,21.527,0.049,Lz,227.7029064,-40.2195509,2025-05-24 02:24:41.282000+00:00,60819.100477800705
,2001 QS209,000000IZ1ZC2,21.477,0.0456,Lz,227.7027426,-40.2194966,2025-05-24 02:25:23.743000+00:00,60819.10096924752
,2001 QS209,000000IZ1ZC2,22.783,0.1386,Lz,227.7026913,-40.2194858,2025-05-24 02:26:47.164000+00:00,60819.101934768725
,2001 QS209,000000IZ1ZC2,21.194,0.0355,Lz,227.7007258,-40.2189345,2025-05-24 02:35:27.702000+00:00,60819.10795951402
,2001 QS209,000000IZ1ZC2,21.172,0.0349,Lz,227.7001525,-40.2187597,2025-05-24 02:38:21.372000+00:00,60819.10996958334
,2001 QS209,000000IZ1ZC2,21.213,0.0445,Lz,227.6994172,-40.2185726,2025-05-24 02:41:56.664000+00:00,60819.11246138904
,2001 QS209,000000IZ1ZC2,22.551,0.0527,Lr,227.698015,-40.2181672,2025-05-24 02:47:20.372000+00:00,60819.11620800942
,2001 QS209,000000IZ1ZC2,21.288,0.0212,Lr,227.6982047,-40.2182027,2025-05-24 02:48:02.738000+00:00,60819.116698356345
,2001 QS209,000000IZ1ZC2,21.37,0.0213,Lr,227.6980697,-40.2181632,2025-05-24 02:48:45.193000+00:00,60819.11718973378
,2001 QS209,000000IZ1ZC2,21.498,0.0219,Lr,227.6977754,-40.2180856,2025-05-24 02:50:10.106000+00:00,60819.1181725231
,2001 QS209,000000IZ1ZC2,22.705,0.05,Lr,227.6935528,-40.2168685,2025-05-24 03:09:39.918000+00:00,60819.131712013856
,2001 QS209,000000IZ1ZC2,22.001,0.0233,Lg,227.690849,-40.2161012,2025-05-24 03:24:41.442000+00:00,60819.14214631962
,2001 QS209,000000IZ1ZC2,21.991,0.0231,Lg,227.6906872,-40.2160543,2025-05-24 03:25:23.921000+00:00,60819.14263797458
,2001 QS209,000000IZ1ZC2,21.968,0.0225,Lg,227.6905397,-40.2160167,2025-05-24 03:26:06.178000+00:00,60819.14312706003
,2001 QS209,000000IZ1ZC2,23.174,0.0526,Lg,227.6905197,-40.2159976,2025-05-24 03:27:41.117000+00:00,60819.144225891214
,2001 QS209,000000IZ1ZC2,21.811,0.0208,Lg,227.6890673,-40.2155832,2025-05-24 03:33:33.186000+00:00,60819.148300763685
,2001 QS209,000000IZ1ZC2,21.845,0.0215,Lg,227.6884872,-40.2154202,2025-05-24 03:36:23.555000+00:00,60819.15027262736
,2001 QS209,000000IZ1ZC2,21.822,0.0203,Lg,227.6878526,-40.2152358,2025-05-24 03:39:31.544000+00:00,60819.152448426
,2001 QS209,000000IZ1ZC2,23.739,0.2094,Lu,227.6856536,-40.2146298,2025-05-24 03:50:27.007000+00:00,60819.16003480321
,2001 QS209,000000IZ1ZC2,23.413,0.2093,Lu,227.6852254,-40.2144672,2025-05-24 03:52:17.918000+00:00,60819.161318495404
,2001 QS209,000000IZ1ZC3,22.381,0.0464,Lg,227.0973987,-40.0286055,2025-05-26 06:49:57.382000+00:00,60821.284691921435
,2001 QS209,000000IZ1ZC3,22.38,0.0465,Lg,227.0972634,-40.0285503,2025-05-26 06:50:39.742000+00:00,60821.285182198975
,2001 QS209,000000IZ1ZC3,22.44,0.0449,Lg,227.0969861,-40.0284546,2025-05-26 06:52:04.394000+00:00,60821.28616196755
,2001 QS209,000000IZ1ZC3,22.432,0.0442,Lg,227.0966938,-40.0283687,2025-05-26 06:53:28.832000+00:00,60821.28713925928
,2001 QS209,000000IZ1ZC3,22.408,0.045,Lg,227.0963071,-40.0282204,2025-05-26 06:55:35.731000+00:00,60821.28860799782
,2001 QS209,000000IZ1ZC3,22.469,0.0605,Lg,227.0954711,-40.0279744,2025-05-26 06:59:49.359000+00:00,60821.29154350702
,2001 QS209,000000IZ1ZC3,22.403,0.0495,Lg,227.0950585,-40.0277896,2025-05-26 07:01:56.786000+00:00,60821.29301835643
,2001 QS209,000000IZ1ZC3,22.363,0.0582,Lg,227.0946452,-40.0276727,2025-05-26 07:04:03.830000+00:00,60821.294488773216
,2001 QS209,000000IZ1ZC3,22.451,0.0579,Lg,227.094495,-40.0276278,2025-05-26 07:04:46.084000+00:00,60821.294977824204
,2001 QS209,000000IZ1ZC3,22.427,0.061,Lg,227.0943556,-40.0275938,2025-05-26 07:05:28.078000+00:00,60821.29546386562
,2001 QS209,000000IZ1ZC3,22.371,0.0504,Lg,227.094156,-40.0275003,2025-05-26 07:06:52.664000+00:00,60821.296442870516
,2001 QS209,000000IZ1ZC3,22.393,0.0509,Lg,227.0938469,-40.027392,2025-05-26 07:08:16.694000+00:00,60821.29741543997
,2001 QS209,000000IZ1ZC3,22.399,0.0497,Lg,227.0935887,-40.0273194,2025-05-26 07:09:41.014000+00:00,60821.29839136591
,2001 QS209,000000IZ1ZC3,22.414,0.0471,Lg,227.0934518,-40.0272572,2025-05-26 07:10:23.231000+00:00,60821.29887998849
,2001 QS209,000000IZ1ZC4,21.091,0.0267,Li,226.5873078,-39.8504062,2025-05-28 04:23:20.470000+00:00,60823.18287581019
,2001 QS209,000000IZ1ZC4,21.161,0.0293,Li,226.5868892,-39.8502649,2025-05-28 04:25:33.227000+00:00,60823.18441234948
,2001 QS209,000000IZ1ZC4,21.161,0.0265,Li,226.5867535,-39.8502109,2025-05-28 04:26:16.436000+00:00,60823.18491245387
,2001 QS209,000000IZ1ZC4,21.186,0.0296,Li,226.5866226,-39.8501669,2025-05-28 04:26:59.371000+00:00,60823.18540938664
,2001 QS209,000000IZ1ZC4,21.11,0.0295,Li,226.5864944,-39.8501197,2025-05-28 04:27:41.909000+00:00,60823.18590172473
,2001 QS209,000000IZ1ZC4,21.198,0.0295,Li,226.5863307,-39.8500742,2025-05-28 04:28:25.002000+00:00,60823.186400486156
,2001 QS209,000000IZ1ZC4,21.18,0.0319,Li,226.5862137,-39.8500235,2025-05-28 04:29:06.976000+00:00,60823.18688629614
,2001 QS209,000000IZ1ZC4,21.178,0.0309,Li,226.5860904,-39.8499611,2025-05-28 04:29:49.446000+00:00,60823.187377847265
,2001 QS209,000000IZ1ZC4,21.17,0.0294,Li,226.5857738,-39.8498589,2025-05-28 04:31:16.447000+00:00,60823.18838480301
,2001 QS209,000000IZ1ZC4,21.197,0.0319,Li,226.5856652,-39.8498256,2025-05-28 04:31:59.039000+00:00,60823.18887776602
,2001 QS209,000000IZ1ZC4,21.178,0.0321,Li,226.5854385,-39.8497436,2025-05-28 04:33:12.821000+00:00,60823.18973172456
,2001 QS209,000000IZ1ZC4,21.178,0.0314,Li,226.5852834,-39.8496812,2025-05-28 04:33:54.900000+00:00,60823.19021874992
,2001 QS209,000000IZ1ZC4,21.131,0.0298,Li,226.5851447,-39.8496425,2025-05-28 04:34:37.291000+00:00,60823.19070938649
,2001 QS209,000000IZ1ZC4,21.183,0.0295,Li,226.5850266,-39.849598,2025-05-28 04:35:19.674000+00:00,60823.191199930385
,2001 QS209,000000IZ1ZC5,22.112,0.0377,Lg,226.3011134,-39.7432068,2025-05-29 06:26:44.324000+00:00,60824.26856856467
,2001 QS209,000000IZ1ZC5,22.17,0.0382,Lg,226.3008431,-39.7431014,2025-05-29 06:28:09.063000+00:00,60824.269549340475
,2001 QS209,000000IZ1ZC5,22.152,0.0352,Lg,226.3007096,-39.7430487,2025-05-29 06:28:51.323000+00:00,60824.27003846085
,2001 QS209,000000IZ1ZC5,22.185,0.0362,Lg,226.3004483,-39.7429409,2025-05-29 06:30:16.136000+00:00,60824.271020092536
,2001 QS209,000000IZ1ZC5,22.162,0.0466,Lg,226.300323,-39.742863,2025-05-29 06:30:58.360000+00:00,60824.27150879614
,2001 QS209,000000IZ1ZC5,22.216,0.0386,Lg,226.3000364,-39.7427764,2025-05-29 06:32:22.795000+00:00,60824.27248605341
,2001 QS209,000000IZ1ZC5,22.198,0.0383,Lg,226.2999404,-39.7427431,2025-05-29 06:33:04.859000+00:00,60824.27297290508
,2001 QS209,000000IZ1ZC5,22.155,0.0369,Lg,226.2997684,-39.7426895,2025-05-29 06:33:47.113000+00:00,60824.273461956065
,2001 QS209,000000IZ1ZC5,22.196,0.04,Lg,226.2995262,-39.7425753,2025-05-29 06:35:11.378000+00:00,60824.27443724545
,2001 QS209,000000IZ1ZC5,22.202,0.0332,Lg,226.2994201,-39.7425382,2025-05-29 06:35:53.466000+00:00,60824.27492437512
,2001 QS209,000000IZ1ZC5,22.196,0.0376,Lg,226.2992587,-39.7424798,2025-05-29 06:36:35.924000+00:00,60824.27541578701
,2001 QS209,000000IZ1ZC5,22.266,0.0366,Lg,226.2990087,-39.7423813,2025-05-29 06:37:59.984000+00:00,60824.276388703845
,2001 QS209,000000IZ1ZC5,22.131,0.0335,Lg,226.2988946,-39.7423392,2025-05-29 06:38:42.343000+00:00,60824.276878969744
,2001 QS209,000000IZ1ZC5,22.331,0.0382,Lg,226.2983534,-39.7421574,2025-05-29 06:41:17.230000+00:00,60824.2786716437
,2001 QS209,000000IZ1ZC5,23.445,0.2201,Lu,226.2963415,-39.741403,2025-05-29 06:52:51.411000+00:00,60824.28670614585
,2001 QS209,000000IZ1ZC6,21.737,0.029,Lr,226.0958043,-39.6623159,2025-05-30 01:39:07.328000+00:00,60825.06883481471
,2001 QS209,000000IZ1ZC6,21.665,0.0289,Lr,226.0956678,-39.6622605,2025-05-30 01:39:49.690000+00:00,60825.06932511553
,2001 QS209,000000IZ1ZC6,21.71,0.0296,Lr,226.0955499,-39.6622195,2025-05-30 01:40:31.957000+00:00,60825.06981431693
,2001 QS209,000000IZ1ZC6,21.785,0.0301,Lr,226.0954184,-39.6621745,2025-05-30 01:41:14.209000+00:00,60825.0703033451
,2001 QS209,000000IZ1ZC6,21.76,0.0314,Lr,226.095281,-39.662115,2025-05-30 01:41:56.271000+00:00,60825.070790173486
,2001 QS209,000000IZ1ZC6,21.759,0.0324,Lr,226.0947531,-39.6619097,2025-05-30 01:44:44.788000+00:00,60825.07274060184
,2001 QS209,000000IZ1ZC6,21.693,0.0295,Lr,226.0946355,-39.6618726,2025-05-30 01:45:26.879000+00:00,60825.07322776597
,2001 QS209,000000IZ1ZC6,21.775,0.0315,Lr,226.0943042,-39.6617634,2025-05-30 01:47:35.229000+00:00,60825.074713298585
,2001 QS209,000000IZ1ZC6,21.731,0.0293,Lr,226.0941184,-39.6616687,2025-05-30 01:48:17.206000+00:00,60825.075199143495
,2001 QS209,000000IZ1ZC6,21.795,0.0308,Lr,226.0938489,-39.6615775,2025-05-30 01:49:41.752000+00:00,60825.076177685056
,2001 QS209,000000IZ1ZC7,21.544,0.0459,Lr,225.7987268,-39.5412408,2025-05-31 05:34:58.596000+00:00,60826.23262263881
,2001 QS209,000000IZ1ZC7,21.596,0.0479,Lr,225.7983833,-39.5410753,2025-05-31 05:36:52.216000+00:00,60826.23393768538
,2001 QS209,000000IZ1ZC7,21.497,0.0425,Lr,225.7981321,-39.5409326,2025-05-31 05:38:46.053000+00:00,60826.23525524326
,2001 QS209,000000IZ1ZC7,21.592,0.0471,Lr,225.7979352,-39.5408874,2025-05-31 05:39:23.773000+00:00,60826.23569181701
,2001 QS209,000000IZ1ZC7,21.529,0.0417,Lr,225.7977006,-39.5407858,2025-05-31 05:40:41.762000+00:00,60826.236594467424
,2001 QS209,000000IZ1ZC7,23.274,0.2162,Lu,225.7959044,-39.5400547,2025-05-31 05:50:26.639000+00:00,60826.24336387729
,2001 QS209,000000IZ1ZC7,22.102,0.0492,Lg,225.7884081,-39.5368558,2025-05-31 06:32:39.590000+00:00,60826.272680439986
,2001 QS209,000000IZ1ZC7,22.14,0.0473,Lg,225.788292,-39.5368138,2025-05-31 06:33:17.430000+00:00,60826.27311840281
,2001 QS209,000000IZ1ZC7,22.11,0.0418,Lg,225.7881708,-39.5367676,2025-05-31 06:33:55.147000+00:00,60826.273554942105
,2001 QS209,000000IZ1ZC7,22.184,0.0469,Lg,225.7880908,-39.5367222,2025-05-31 06:34:32.871000+00:00,60826.273991562426
,2001 QS209,000000IZ1ZC7,22.09,0.0498,Lg,225.7879496,-39.5366723,2025-05-31 06:35:10.609000+00:00,60826.2744283448
,2001 QS209,000000IZ1ZC7,22.171,0.0474,Lg,225.7878379,-39.536622,2025-05-31 06:35:49.657000+00:00,60826.274880289566
,2001 QS209,000000IZ1ZC7,22.074,0.0482,Lg,225.7877242,-39.5365561,2025-05-31 06:36:27.838000+00:00,60826.27532219887
,2001 QS209,000000IZ1ZC7,22.116,0.0428,Lg,225.7875056,-39.5364776,2025-05-31 06:37:43.591000+00:00,60826.27619896969
,2001 QS209,000000IZ1ZC7,22.164,0.0437,Lg,225.7874042,-39.5364167,2025-05-31 06:38:21.225000+00:00,60826.27663454879
,2001 QS209,000000IZ1ZC7,22.07,0.0463,Lg,225.7872757,-39.5363799,2025-05-31 06:39:00.105000+00:00,60826.27708454849
,2001 QS209,000000IZ1ZC7,22.055,0.0422,Lg,225.7870243,-39.536284,2025-05-31 06:40:15.544000+00:00,60826.27795768529
,2001 QS209,000000IZ1ZC7,22.154,0.0458,Lg,225.786934,-39.5362262,2025-05-31 06:40:53.294000+00:00,60826.27839460643
,2001 QS209,000000IZ1ZC7,22.21,0.0526,Lg,225.786833,-39.5362,2025-05-31 06:41:30.939000+00:00,60826.27883031266
,2001 QS209,000000IZ1ZC7,22.253,0.0525,Lg,225.7867124,-39.5361361,2025-05-31 06:42:08.669000+00:00,60826.27926700236
,2001 QS209,000000IZ1ZC7,22.08,0.0456,Lg,225.7866167,-39.5360977,2025-05-31 06:42:46.869000+00:00,60826.27970913192
,2001 QS209,000000IZ1ZC7,22.201,0.0434,Lg,225.786485,-39.5360392,2025-05-31 06:43:24.500000+00:00,60826.2801446761
,2001 QS209,000000IZ1ZC7,22.149,0.0462,Lg,225.7864018,-39.5359945,2025-05-31 06:44:02.328000+00:00,60826.280582500156
,2001 QS209,000000IZ1ZC7,22.152,0.0458,Lg,225.7862693,-39.5359374,2025-05-31 06:44:39.975000+00:00,60826.2810182292
