permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KH32,000000IPCU31,22.469,,Li,149.2917187,0.8328642,2025-05-16 01:00:39.868000+00:00,60811.04212810192
,2025 KH32,000000IPCU31,22.4,,Li,149.291754,0.8328711,2025-05-16 01:02:02.364000+00:00,60811.04308291664
,2025 KH32,000000IPCU31,22.555,,Li,149.29177,0.8328891,2025-05-16 01:02:43.314000+00:00,60811.04355687508
,2025 KH32,000000IPCU31,22.615,,Li,149.2918041,0.8329327,2025-05-16 01:03:24.232000+00:00,60811.04403046286
,2025 KH32,000000IPCU31,22.461,,Li,149.2918852,0.8329003,2025-05-16 01:04:46.756000+00:00,60811.04498560168
,2025 KH32,000000IPCU31,22.418,,Li,149.291912,0.8328818,2025-05-16 01:05:27.952000+00:00,60811.04546240717
,2025 KH32,000000IPCU31,22.423,,Li,149.291933,0.83289,2025-05-16 01:06:08.764000+00:00,60811.04593476839
,2025 KH32,000000IPCU31,22.467,,Li,149.2919826,0.8328932,2025-05-16 01:06:49.982000+00:00,60811.0464118286
,2025 KH32,000000IPCU31,22.316,,Li,149.291983,0.8328584,2025-05-16 01:07:31.307000+00:00,60811.04689012747
,2025 KH32,000000IPCU31,22.56,,Li,149.2920111,0.8328895,2025-05-16 01:08:12.159000+00:00,60811.04736295156
,2025 KH32,000000IPCU31,22.444,,Li,149.2920232,0.8329074,2025-05-16 01:08:55.092000+00:00,60811.04785986105
,2025 KH32,000000IPCU31,22.216,,Li,149.2921114,0.8328984,2025-05-16 01:09:36.127000+00:00,60811.04833480343
,2025 KH32,000000IPCU31,22.307,,Li,149.2921201,0.8328977,2025-05-16 01:10:17.099000+00:00,60811.04880901612
,2025 KH32,000000IPCU31,22.376,,Li,149.2922031,0.8329407,2025-05-16 01:11:39.209000+00:00,60811.04975936329
,2025 KH32,000000IPCU31,22.552,,Li,149.2923027,0.8329077,2025-05-16 01:13:42.240000+00:00,60811.051183333155
,2025 KH32,000000IPCU31,22.37,,Li,149.2922902,0.8329249,2025-05-16 01:14:23.642000+00:00,60811.0516625233
,2025 KH32,000000IPCU31,22.482,,Li,149.2923348,0.8329392,2025-05-16 01:15:46.120000+00:00,60811.052617129404
,2025 KH32,000000IPCU31,22.482,,Li,149.2923973,0.8329128,2025-05-16 01:16:27.599000+00:00,60811.053097210824
,2025 KH32,000000IPCU31,22.31,,Li,149.2924624,0.8329042,2025-05-16 01:17:11.382000+00:00,60811.05360395834
,2025 KH32,000000IPCU31,22.413,,Lz,149.2933302,0.8329124,2025-05-16 01:36:32.409000+00:00,60811.06704177102
,2025 KH32,000000IPCU31,22.32,,Lz,149.2935512,0.8329353,2025-05-16 01:42:49.970000+00:00,60811.07141168974
,2025 KH32,000000IPCU31,22.01,,Lz,149.2938472,0.8329554,2025-05-16 01:48:35.460000+00:00,60811.075410416815
,2025 KH32,000000IPCU32,23.239,,Lg,149.6530205,0.8281915,2025-05-20 23:57:15.858000+00:00,60815.99810020812
,2025 KH32,000000IPCU32,23.381,,Lg,149.6530808,0.8281974,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KH32,000000IPCU32,23.313,,Lg,149.6531181,0.8282108,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2025 KH32,000000IPCU32,23.372,,Lg,149.6532313,0.8281939,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KH32,000000IPCU32,23.495,,Lg,149.6532545,0.8281776,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2025 KH32,000000IPCU32,23.659,,Lg,149.6532291,0.8281803,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2025 KH32,000000IPCU32,23.389,,Lg,149.6533115,0.8281692,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2025 KH32,000000IPCU32,23.279,,Lg,149.6533557,0.8281669,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KH32,000000IPCU32,23.274,,Lg,149.653392,0.8281676,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KH32,000000IPCU32,23.343,,Lg,149.6534246,0.828184,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KH32,000000IPCU32,23.473,,Lg,149.6534879,0.8282002,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KH32,000000IPCU32,23.432,,Lg,149.6535335,0.8281579,2025-05-21 00:06:13.197000+00:00,60816.00431940984
,2025 KH32,000000IPCU32,23.476,,Lg,149.6537293,0.8281647,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KH32,000000IPCU32,23.275,,Lg,149.6537448,0.8281929,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2025 KH32,000000IPCU32,23.596,,Lg,149.6539195,0.828143,2025-05-21 00:13:07.337000+00:00,60816.00911269663
