permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
70881,1999 VO162,000000IYDaY1,19.13,0.0122,Li,270.8710304,-24.8972262,2025-04-26 06:39:09.161000+00:00,60791.27718936326
70881,1999 VO162,000000IYDaY1,19.164,0.012,Li,270.8710412,-24.8972081,2025-04-26 06:41:27.333000+00:00,60791.27878857637
70881,1999 VO162,000000IYDaY1,19.153,0.0122,Li,270.871049,-24.8971954,2025-04-26 06:42:58.974000+00:00,60791.2798492359
70881,1999 VO162,000000IYDaY1,19.233,0.0121,Li,270.8710567,-24.8971767,2025-04-26 06:45:17.173000+00:00,60791.28144876147
70881,1999 VO162,000000IYDaY1,19.178,0.0125,Li,270.8710697,-24.8971638,2025-04-26 06:46:47.725000+00:00,60791.282496816944
70881,1999 VO162,000000IYDaY2,21.314,0.0602,Lu,270.821584,-24.8165743,2025-05-02 04:49:29.803000+00:00,60797.20103938645
70881,1999 VO162,000000IYDaY2,21.185,0.0475,Lu,270.821538,-24.8165479,2025-05-02 04:51:13.579000+00:00,60797.202240497805
70881,1999 VO162,000000IYDaY2,21.251,0.0488,Lu,270.8214995,-24.8165188,2025-05-02 04:52:04.122000+00:00,60797.202825486194
70881,1999 VO162,000000IYDaY2,21.208,0.0414,Lu,270.8214094,-24.8164829,2025-05-02 04:56:25.909000+00:00,60797.20585542824
70881,1999 VO162,000000IYDaY2,21.299,0.0464,Lu,270.8213309,-24.8164795,2025-05-02 04:58:10.655000+00:00,60797.20706776623
70881,1999 VO162,000000IYDaY2,21.173,0.0399,Lu,270.821301,-24.8164554,2025-05-02 05:00:42.568000+00:00,60797.2088260185
70881,1999 VO162,000000IYDaY2,21.154,0.0397,Lu,270.8212091,-24.8164199,2025-05-02 05:04:12.627000+00:00,60797.21125725703
70881,1999 VO162,000000IYDaY2,21.219,0.0403,Lu,270.8212016,-24.8164189,2025-05-02 05:05:02.987000+00:00,60797.21184012713
70881,1999 VO162,000000IYDaY2,21.182,0.0466,Lu,270.8211391,-24.816404,2025-05-02 05:06:49.033000+00:00,60797.21306751156
70881,1999 VO162,000000IYDaY2,21.174,0.0404,Lu,270.8210747,-24.8163934,2025-05-02 05:08:30.623000+00:00,60797.21424332168
70881,1999 VO162,000000IYDaY2,21.224,0.0455,Lu,270.8210702,-24.8163976,2025-05-02 05:09:21.118000+00:00,60797.214827754535
70881,1999 VO162,000000IYDaY2,21.17,0.0404,Lu,270.8210326,-24.8163673,2025-05-02 05:11:04.220000+00:00,60797.21602106467
70881,1999 VO162,000000IYDaY2,21.243,0.0443,Lu,270.8209678,-24.8163584,2025-05-02 05:12:45.651000+00:00,60797.21719503449
